All,Continent,Region,Country
Global,Europe,Northern Europe,Lithuania
Global,Europe,Western Europe,Luxembourg
Global,Africa,Eastern Africa,Madagascar
Global,Africa,Eastern Africa,Malawi
Global,Asia,South-Eastern Asia,Malaysia
Global,Asia,Southern Asia,Maldives
Global,Africa,Western Africa,Mali
Global,Europe,Southern Europe,Malta
Global,Oceania,Micronesia,Marshall Islands
Global,Latin America and the Caribbean,Caribbean,Martinique
Global,Africa,Western Africa,Mauritania
Global,Africa,Eastern Africa,Mauritius
Global,Africa,Eastern Africa,Mayotte
Global,Latin America and the Caribbean,Central America,Mexico
Global,Oceania,Micronesia,Micronesia (Federated States of)
Global,Europe,Western Europe,Monaco
Global,Asia,Eastern Asia,Mongolia
Global,Europe,Southern Europe,Montenegro
Global,Latin America and the Caribbean,Caribbean,Montserrat
Global,Africa,Northern Africa,Morocco
Global,Africa,Eastern Africa,Mozambique
Global,Asia,South-Eastern Asia,Myanmar
Global,Africa,Southern Africa,Namibia
Global,Oceania,Micronesia,Nauru
Global,Asia,Southern Asia,Nepal
Global,Europe,Western Europe,Netherlands
Global,Oceania,Melanesia,New Caledonia
Global,Oceania,Australia and New Zealand,New Zealand
Global,Latin America and the Caribbean,Central America,Nicaragua
Global,Africa,Western Africa,Niger
Global,Africa,Western Africa,Nigeria
Global,Oceania,Polynesia,Niue
Global,Oceania,Micronesia,Northern Mariana Islands
Global,Europe,Northern Europe,Norway
Global,Asia,Western Asia,Oman
Global,Asia,Southern Asia,Pakistan
Global,Oceania,Micronesia,Palau
Global,Latin America and the Caribbean,Central America,Panama
Global,Oceania,Melanesia,Papua New Guinea
Global,Latin America and the Caribbean,South America,Paraguay
Global,Latin America and the Caribbean,South America,Peru
Global,Asia,South-Eastern Asia,Philippines
Global,Europe,Eastern Europe,Poland
Global,Europe,Southern Europe,Portugal
Global,Latin America and the Caribbean,Caribbean,Puerto Rico
Global,Asia,Western Asia,Qatar
Global,Asia,Eastern Asia,Republic of Korea
Global,Europe,Eastern Europe,Republic of Moldova
Global,Africa,Eastern Africa,Réunion
Global,Europe,Eastern Europe,Romania
Global,Europe,Eastern Europe,Russian Federation
Global,Africa,Eastern Africa,Rwanda
Global,Africa,Western Africa,Saint Helena
Global,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis
Global,Latin America and the Caribbean,Caribbean,Saint Lucia
Global,Northern America,Northern America,Saint Pierre and Miquelon
Global,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines
Global,Oceania,Polynesia,Samoa
Global,Europe,Southern Europe,San Marino
Global,Africa,Middle Africa,Sao Tome and Principe
Global,Asia,Western Asia,Saudi Arabia
Global,Africa,Western Africa,Senegal
Global,Europe,Southern Europe,Serbia
Global,Africa,Eastern Africa,Seychelles
Global,Africa,Western Africa,Sierra Leone
Global,Asia,South-Eastern Asia,Singapore
Global,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part)
Global,Europe,Eastern Europe,Slovakia
Global,Europe,Southern Europe,Slovenia
Global,Oceania,Melanesia,Solomon Islands
Global,Africa,Eastern Africa,Somalia
Global,Africa,Southern Africa,South Africa
Global,Africa,Eastern Africa,South Sudan
Global,Europe,Southern Europe,Spain
Global,Asia,Southern Asia,Sri Lanka
Global,Asia,Western Asia,State of Palestine
Global,Africa,Northern Africa,Sudan
Global,Latin America and the Caribbean,South America,Suriname
Global,Africa,Southern Africa,Swaziland
Global,Europe,Northern Europe,Sweden
Global,Europe,Western Europe,Switzerland
Global,Asia,Western Asia,Syrian Arab Republic
Global,Asia,Central Asia,Tajikistan
Global,Asia,South-Eastern Asia,Thailand
Global,Europe,Southern Europe,The former Yugoslav Republic of Macedonia
Global,Asia,South-Eastern Asia,Timor-Leste
Global,Africa,Western Africa,Togo
Global,Oceania,Polynesia,Tokelau
Global,Oceania,Polynesia,Tonga
Global,Latin America and the Caribbean,Caribbean,Trinidad and Tobago
Global,Africa,Northern Africa,Tunisia
Global,Asia,Western Asia,Turkey
Global,Asia,Central Asia,Turkmenistan
Global,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands
Global,Oceania,Polynesia,Tuvalu
Global,Africa,Eastern Africa,Uganda
Global,Europe,Eastern Europe,Ukraine
Global,Asia,Western Asia,United Arab Emirates
Global,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland
Global,Africa,Eastern Africa,United Republic of Tanzania
Global,Northern America,Northern America,United States of America
Global,Latin America and the Caribbean,Caribbean,United States Virgin Islands
Global,Latin America and the Caribbean,South America,Uruguay
Global,Asia,Central Asia,Uzbekistan
Global,Oceania,Melanesia,Vanuatu
Global,Latin America and the Caribbean,South America,Venezuela (Bolivarian Republic of)
Global,Asia,South-Eastern Asia,Viet Nam
Global,Oceania,Polynesia,Wallis and Futuna Islands
Global,Africa,Northern Africa,Western Sahara
Global,Asia,Western Asia,Yemen
Global,Africa,Eastern Africa,Zambia
Global,Africa,Eastern Africa,Zimbabwe
